title,path,order,section,description
"Introduction","/intro","1A","Welcome","Brian Holt introduces you to himself, the Complete Intro to React version 6, and what you can expect to learn"
"Pure React","/pure-react","2A","No Frills React","Brian teaches React without any frills: just you, some JavaScript, and the browser. No build step."
"Components","/components","2B","No Frills React","Brian teaches React without any frills: just you, some JavaScript, and the browser. No build step."
"npm","/npm","3A","JS Tools","When putting any sort of JavaScript project together, npm is an essential tool. Brian talks about how to get started with npm."
"Prettier","/prettier","3B","JS Tools","Brian talks about his favorite JS tool, Prettier, a tool that that helps you maintain consistent code style with no work on the dev's part."
"ESLint","/eslint","3C","JS Tools","An essential part of maintaining a project a long time is discipline in coding standards and avoiding antipatterns. ESLint is a great tool that helps you do just that."
"Git","/git","3D","JS Tools","Git is a critical part of any JS project and Brian makes sure you have it set up."
"Parcel","/parcel","3E","JS Tools","Setting up a build process has historically been a big barrier to entry for most developers. Brian shows you how to set up Parcel which makes the whole process a breeze."
"Babel","/babel","3F","JS Tools","Typically Parcel handles all of your Babel needs out-of-the-box but the pet app project needs one specific transformation. Brian demonstrates how to set up a new Babel configuration."
"Browserlist","/browserlist","3G","JS Tools","Babel transforms your JS code from futuristic code to code that is understandable by older browsers. Via a package called browserslist (which Parcel installed for you) you can Babel what browsers to target."
"JSX","/jsx","4A","Core React Concepts","JSX is an essential part of writing React. Brian teaches you to leverage your newfound React knowledge and make it much easier to read with JSX"
"Hooks","/hooks","4B","Core React Concepts","React manages view state through a mechanism called hooks. Brian teaches you how to use them as you build components."
"useEffect","/useeffect","4C","Core React Concepts","useEffect is a criticl hook for React, allowing developers to do asynchronous actions like making HTTP requests"
"Custom Hooks","/custom-hooks","4D","Core React Concepts","You can even make your own hooks! Brian shows how to extract logic out of a component to share a hook across components!"
"Handling User Input","/handling-user-input","4E","Core React Concepts","Brian shows how to wire up your app to work with users interacting with the site."
"Component Composition","/component-composition","4F","Core React Concepts","One component should do one thing. Brian shows you how to break down bigger components into smaller components."
"React Dev Tools","/react-dev-tools","4G","Core React Concepts","An essential tool in any React developer's toolbox is the official React Dev Tools extension. Brian shows you how to install and use them."
"React Router","/react-router","5A","React Capabilities","One component should do one thing. Brian shows you how to break down bigger components into smaller components."
"Class Components","/class-components","5B","React Capabilities","While many components are written with hooks, the older API of class-based components are still around and still useful. Brian shows you when and how to use the class components API."
"Class Properties","/class-properties","5C","React Capabilities","Using constructors to set initial state for class components is verbose and can be done better. Brian teaches you to use the new feature in JavaScript, class properties, to make your code easy to read."
"Managing State in Class Components","/managing-state-in-class-components","5D","React Capabilities","Class components work a little different from hooks in terms of marshalling state. Brian teaches you how to manage your state using setState and life cycle methods."
